,City,State,2021Estimate,2010_census,Change_percent
295,Araxá,Minas Gerais,108403,93672,15.73
296,Nova Serrana,Minas Gerais,108241,73699,46.87
297,Cambé,Paraná,108126,96733,11.78
298,Tangará da Serra,Mato Grosso,107631,83431,29.01
299,São Pedro da Aldeia,Rio de Janeiro,107556,87875,22.4
300,Erechim,Rio Grande do Sul,107368,96087,11.74
301,Tubarão,Santa Catarina,107143,97235,10.19
302,Itumbiara,Goiás,106845,92883,15.03
303,Japeri,Rio de Janeiro,106296,95492,11.31
304,Lagarto,Sergipe,106015,94861,11.76
305,Ituiutaba,Minas Gerais,105818,97171,8.9
306,Assis,São Paulo,105768,95144,11.17
307,Lavras,Minas Gerais,105756,92200,14.7
308,Leme,São Paulo,105273,91756,14.73
309,Bacabal,Maranhão,105094,100014,5.08
310,Aracruz,Espírito Santo,104942,81832,28.24
311,São Gonçalo do Amarante,Rio Grande do Norte,104919,87668,19.68
312,Vilhena,Rondônia,104517,76202,37.16
313,Itaperuna,Rio de Janeiro,104354,95841,8.88
314,Itanhaém,São Paulo,104351,87057,19.87
315,Breves,Pará,104280,92860,12.3
316,Itacoatiara,Amazonas,104046,86839,19.81
317,Caieiras,São Paulo,104044,86529,20.24
318,Fazenda Rio Grande,Paraná,103750,81675,27.03
319,Mairiporã,São Paulo,103645,80956,28.03
320,Iguatu,Ceará,103633,96495,7.4
321,Jataí,Goiás,103221,88006,17.29
322,Santo Antônio de Jesus,Bahia,103204,90985,13.43
323,Itaituba,Pará,101541,97493,4.15
324,Barra do Piraí,Rio de Janeiro,101139,94778,6.71
325,Abreu e Lima,Pernambuco,100698,94429,6.64
